ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6602207446,4,9,9,18,22,24,24,24,27,28,33,33,35,40,43
6603247644,2,2,2,2,2,2,4,4,4,6,10,13,13,17,19
6603476567,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6602104029,26,26,26,26,36,36,46,46,61,61,67,67,71,71,71
55888724800,4,5,5,7,7,7,11,12,12,12,15,15,15,26,26
8700956700,1,1,3,3,3,3,6,6,6,7,7,7,7,7,7
7006376498,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4
21743369000,3,3,3,4,7,7,7,7,9,10,11,11,13,13,16
36026187100,14,14,14,14,14,14,14,14,14,14,35,35,43,56,68
6701831220,1,1,1,1,1,1,1,4,6,6,6,6,6,6,6
6701446077,9,9,9,29,29,29,29,30,30,30,30,30,30,30,30
7801629715,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7
23022311900,3,3,6,6,6,6,12,12,17,17,17,17,20,20,20
6603672082,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9
7004245418,3,3,5,7,10,10,11,11,11,11,14,14,15,15,15
8393679000,9,9,9,9,9,9,9,9,9,9,15,15,15,15,26
56069541400,43,43,43,43,48,48,112,112,198,198,202,202,205,205,256
35451303200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
53866152500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6603751598,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16
7201468610,11,11,11,11,11,11,11,11,11,18,18,18,18,18,18
15019473400,2,5,10,10,10,10,10,10,10,14,14,14,14,14,14
7402515233,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6603105760,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4
6602452487,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
23975627600,3,3,3,3,4,4,4,7,8,8,8,9,9,10,10
6505561198,2,2,2,2,4,4,4,7,10,10,10,10,10,10,10
6506247514,4,4,7,7,7,7,7,9,9,9,9,9,13,13,13
57196074966,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8
22433529700,2,2,2,2,2,4,6,6,6,6,6,6,24,24,29
6601970604,17,17,17,28,35,35,35,49,49,49,64,75,75,84,84
10038902900,5,7,8,10,14,14,21,23,26,30,30,30,34,34,35
56216326200,1,1,1,1,1,1,1,1,4,4,4,4,4,4,12
55944243500,1,1,1,1,1,2,6,6,10,10,11,11,11,11,17
7003270243,1,1,1,1,1,1,1,7,7,11,12,12,12,13,13
23501520800,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6
24757890200,71,71,71,71,86,86,86,86,86,86,86,86,86,86,86
7202736479,17,17,17,21,21,21,21,21,30,30,30,38,38,43,43
7003564686,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8082491200,1,3,3,5,5,5,5,11,12,13,13,14,22,25,25
