Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
46,7005865095,6,6,6,6,6,6,6,6,6,6,6,8,2007
85,23008692200,43,43,62,62,62,62,62,62,62,62,62,62,2007
111,7103065327,3,3,3,3,12,12,12,21,34,34,36,36,2007
113,6508252665,4,9,9,9,9,9,9,9,9,9,9,9,2007
122,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
131,18437015900,2,2,2,2,2,2,2,2,2,2,2,2,2007
174,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
204,13005751700,10,10,10,10,10,10,10,10,10,10,10,10,2007
205,6508024595,4,4,4,4,4,4,4,4,4,4,4,4,2007
210,55715631800,4,4,4,4,4,4,4,4,4,4,4,4,2007
211,23100304500,9,9,9,9,9,9,9,9,9,9,9,9,2007
232,56030195400,4,4,4,4,4,4,4,4,4,4,4,4,2007
236,26767632400,1,1,1,1,1,1,1,1,1,1,1,1,2007
263,57194907127,5,5,5,5,5,5,5,5,5,5,5,5,2007
331,26026181500,2,2,3,6,6,6,9,9,9,9,9,9,2007
345,23984606900,3,3,3,3,3,3,3,3,3,3,3,3,2007
353,16178095900,1,1,1,1,1,1,1,1,1,1,1,1,2007
366,24722993500,2,2,2,2,2,2,2,2,2,2,2,2,2007
383,55738721200,2,2,5,5,5,5,5,5,5,5,5,5,2007
387,23397629300,3,3,4,4,4,4,4,4,4,4,4,4,2007
394,8319802300,4,6,6,6,6,6,6,6,6,6,6,6,2007
422,8552286100,1,1,1,1,1,1,1,7,7,7,7,7,2007
442,6507778855,7,7,7,7,7,60,60,60,60,60,60,60,2007
455,16417168600,1,1,1,1,1,1,1,1,1,1,1,1,2007
536,37091242100,13,13,13,13,13,13,13,13,13,13,13,13,2007
551,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
590,22940989000,2,2,2,2,2,2,2,2,2,2,2,2,2007
661,23006340400,3,3,3,3,3,3,3,3,3,3,3,3,2007
731,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
763,54985679700,6,6,6,6,6,6,6,6,6,6,6,6,2007
818,9744913000,6,6,6,6,6,6,6,6,6,6,6,6,2007
878,6507589105,4,4,4,4,4,4,4,4,4,4,4,4,2007
921,7003876431,17,17,17,17,17,17,17,17,17,17,17,17,2007
972,13106009800,65,65,65,65,65,65,65,65,65,65,65,65,2007
976,16204410100,1,1,1,1,1,1,1,1,1,1,1,1,2007
1012,35601922700,4,4,18,18,24,24,24,24,24,24,24,24,2007
1023,55867065700,15,15,15,15,15,15,15,15,15,15,15,15,2007
1027,34770243100,12,12,12,12,12,15,15,15,15,15,15,15,2007
1030,56248584000,4,4,4,4,4,4,4,4,4,4,4,4,2007
1053,6603312833,1,4,4,4,4,4,4,4,4,4,4,4,2007
1067,18042059200,5,5,6,8,8,8,14,14,20,20,20,20,2007
1090,55470573600,3,3,3,3,3,3,3,3,3,3,3,3,2007
1097,8723630100,7,8,8,8,8,13,13,17,17,17,17,17,2007
1149,24781182200,3,11,11,14,14,14,14,14,14,15,17,17,2007
1153,16204514500,4,4,4,4,4,4,4,4,4,4,4,4,2007
1154,51461997500,7,7,7,7,7,7,7,7,7,7,7,7,2007
1170,8964316200,5,5,5,15,15,15,15,15,15,15,15,15,2007
1171,55946710700,3,3,3,3,3,3,3,3,3,3,3,3,2007
1177,16239955600,4,4,4,4,4,4,4,4,4,4,4,4,2007
1180,16230566700,22,25,25,25,25,25,25,25,25,25,25,25,2007
1212,35876661400,3,3,3,3,3,3,3,3,3,3,3,3,2007
1215,24340960000,4,4,4,4,4,4,4,4,4,4,4,4,2007
1250,6602666543,12,12,12,12,12,12,12,12,12,12,12,12,2007
1332,24775838600,3,3,3,8,8,10,14,14,14,18,18,21,2007
1369,14035001100,8,8,8,10,12,12,12,12,12,17,17,20,2007
1383,23008653600,3,3,3,3,3,3,3,3,3,3,3,3,2007
1386,16306874300,11,11,11,11,11,11,11,11,11,11,11,11,2007
1388,24462752100,11,11,11,11,11,11,17,17,17,17,17,17,2007
1446,6602339312,4,4,4,4,4,4,4,4,4,4,4,4,2007
1456,6603285417,9,11,11,11,11,11,11,11,11,11,11,11,2007
1477,6602921404,3,3,3,3,3,3,3,3,3,3,3,3,2007
1505,14037079200,12,12,12,23,28,31,31,31,31,31,31,31,2007
1571,24724117800,4,4,4,4,4,4,4,4,4,4,4,4,2007
1575,16234115700,29,29,29,29,29,29,29,29,29,29,29,29,2007
1614,24922726700,2,5,5,6,12,16,19,31,35,35,35,41,2007
1680,6602407360,2,3,3,3,3,3,4,10,10,13,18,21,2007
1682,15724755500,2,2,2,2,2,2,2,2,2,2,2,2,2007
1719,36797627600,10,10,10,10,10,10,10,10,10,10,10,10,2007
1740,6602572979,2,2,2,2,2,2,2,2,2,2,2,2,2007
1748,24296880400,1,1,6,10,10,10,10,12,13,13,13,13,2007
1801,16176868300,2,3,3,3,3,3,3,3,3,3,3,3,2007
1827,8988932200,4,4,4,5,5,5,5,5,5,5,5,5,2007
