ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7402073082,1,1,4,4,4,4,4,4,4,6,9,9
55934731800,1,1,1,1,9,13,14,14,14,14,14,18
55944669300,4,4,4,4,4,29,31,32,32,37,37,37
15520146800,1,2,5,6,8,8,8,17,17,27,30,30
16317175400,2,3,3,4,4,4,7,7,7,7,7,7
9742075200,5,5,5,5,5,5,5,5,5,5,5,5
7102890924,4,4,4,4,7,7,7,19,19,19,19,19
16548896600,2,4,7,12,17,20,22,29,39,45,50,54
6603646979,3,3,4,9,13,14,41,50,52,55,55,55
9633196200,6,12,16,26,32,43,52,52,59,59,72,88
55954250000,2,2,4,4,4,4,4,4,4,7,7,7
25031859300,3,3,3,3,3,7,7,10,10,10,10,15
56070676900,2,4,4,4,4,9,9,12,12,12,17,17
8297821700,10,10,10,10,10,10,10,10,10,10,10,10
14025125700,6,6,6,7,7,7,10,10,10,11,14,14
57203133300,2,5,5,7,10,14,20,23,32,35,41,45
6602964195,5,5,5,5,5,5,5,5,5,5,5,5
55883061200,6,6,6,6,6,18,23,26,27,27,28,29
7004278733,3,3,3,3,3,3,3,3,3,3,3,3
23398644800,2,5,13,19,26,28,33,36,41,50,55,65
15060319500,3,4,8,12,15,17,18,18,18,18,18,20
8420644500,36,36,36,36,36,36,36,36,36,36,36,43
24483216900,27,56,63,66,67,69,79,89,89,90,94,102
35193907300,3,3,7,7,7,7,7,7,7,7,7,7
23977126600,6,10,10,12,15,27,32,36,39,47,50,53
15050286900,6,6,6,6,6,7,7,9,9,11,11,11
56107461500,1,6,6,6,6,6,6,6,6,13,15,15
24780241700,4,4,4,8,8,8,8,8,8,12,15,15
6603786240,3,3,4,4,4,4,4,4,4,4,4,4
16480839400,1,2,4,6,9,13,30,33,35,43,66,73
7004570702,4,4,4,4,4,4,4,4,4,4,7,7
16425136600,2,3,3,3,6,8,9,16,21,24,28,32
6603307974,22,22,22,22,22,22,25,25,25,25,26,26
24832062200,2,3,4,4,5,5,5,11,12,12,15,19
22137207200,1,1,1,1,1,1,1,1,1,1,4,4
6602086395,2,2,2,3,7,13,20,22,27,27,33,34
16025155600,4,5,5,5,10,12,13,13,14,16,16,16
35518445600,4,4,4,4,4,4,4,4,4,4,4,4
57193693109,2,7,7,9,13,15,16,25,27,29,31,32
8206969400,7,7,7,7,7,7,7,7,7,7,7,7
57203070274,1,1,1,1,1,3,3,6,7,10,10,10
25227358200,3,3,5,5,5,8,9,11,11,11,11,11
23008588400,3,7,7,7,7,13,15,15,15,15,15,36
56920857600,3,3,3,3,4,5,7,7,7,7,10,10
6603444428,3,3,8,8,9,11,11,14,16,19,22,27
6701774392,6,18,19,19,22,22,22,26,32,32,34,34
26434977800,29,37,37,37,37,37,60,109,109,109,109,109
42162364700,2,2,2,2,2,2,2,2,2,2,4,4
12783406200,8,8,8,8,8,8,8,11,11,11,11,11
