Unnamed: 0,ID,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
171,7003680929,1,2,2,3,3,3,3,3,5,6,6,6,6,6,8,8,10,10,20,20,20,27,27,27,29,29,1993
270,7003443578,1,1,1,3,3,5,5,5,5,5,5,8,8,8,8,8,8,12,14,15,15,15,15,15,15,15,1993
349,7004687440,1,4,5,5,5,7,7,7,7,9,9,11,21,25,28,34,44,44,46,46,46,47,47,49,49,49,1993
595,55587723600,4,4,5,5,8,9,11,11,14,14,18,18,20,23,27,29,30,35,37,41,46,51,56,62,64,66,1993
1279,57194440530,3,6,9,12,12,13,14,14,15,16,16,20,27,32,32,32,32,32,32,37,37,37,37,37,46,46,1993
1572,55905910200,1,1,1,1,1,1,3,3,5,5,7,7,8,8,11,12,15,18,21,21,21,33,33,33,35,55,1993
1658,7402648649,2,2,4,4,6,7,8,8,11,14,17,18,18,22,22,25,25,25,39,39,42,45,46,46,46,50,1993
2028,7101659682,2,2,2,2,12,22,24,32,42,49,57,74,74,76,95,105,115,117,117,117,118,119,119,120,123,123,1993
2261,7007017942,2,2,2,2,5,5,5,10,22,26,26,45,45,66,70,78,86,117,118,120,132,155,157,163,164,169,1993
2430,26030478500,4,4,4,6,7,7,8,8,10,10,10,10,10,10,24,27,30,34,38,40,40,41,41,41,43,51,1993
2752,7005925616,8,10,12,13,16,18,22,23,27,29,36,36,36,39,45,45,47,49,52,58,58,59,67,70,73,76,1993
3982,6603944896,2,3,3,3,5,5,8,8,12,12,12,12,12,12,12,18,19,19,19,19,19,19,19,19,19,22,1993
4277,56269302700,1,1,1,1,1,1,3,6,7,8,15,19,22,24,33,33,39,39,44,50,51,61,67,74,84,86,1993
4627,7003329194,2,3,3,3,3,3,3,4,7,7,9,10,11,11,14,14,14,14,18,18,20,20,20,23,23,26,1993
4758,6701743866,3,3,3,3,4,4,4,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,1993
4957,56186723400,2,5,8,8,15,15,17,17,17,17,19,19,19,19,27,27,31,31,35,39,41,41,46,46,46,50,1993
5770,6701498271,2,2,2,2,3,3,3,5,5,6,7,7,9,9,11,11,12,14,17,17,18,24,24,24,24,27,1993
6080,7004117162,1,1,3,6,8,11,13,16,18,21,25,30,35,44,52,64,67,70,78,81,83,86,96,104,113,116,1993
6226,7006640073,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,14,16,16,16,17,17,20,1993
6458,55909482900,1,1,1,1,1,1,3,5,5,6,7,8,10,19,21,30,30,30,30,30,30,32,32,32,32,32,1993
6833,6603674438,2,3,3,3,5,5,5,6,6,8,9,11,14,22,23,27,29,33,36,37,38,38,40,40,42,42,1993
6984,7004426989,8,8,8,8,13,13,13,13,13,13,13,21,21,35,37,46,46,61,78,118,161,168,193,228,234,252,1993
7136,55831988100,2,2,5,7,9,16,19,19,21,22,22,22,28,42,48,49,54,58,68,73,82,87,93,95,96,97,1993
